Tournament,Date,Team_1,Team_2,Score_1,Score_2
2019-EUCRC,2019-08-24,Family Ultimate,Gentle Open,11,12
2019-EUCRC,2019-08-24,Mooncatchers,Frank N,13,11
2019-EUCRC,2019-08-24,Force Elektro 1,KFK - Copenhagen Frisbee Club,3,13
2019-EUCRC,2019-08-24,HELGTRE OPEN,Heidees,9,13
2019-EUCRC,2019-08-24,M.U.C.,KFK - Copenhagen Frisbee Club,13,9
2019-EUCRC,2019-08-24,Bad Skid,Gentle Open,13,8
2019-EUCRC,2019-08-24,Ragnarok,Frank N,12,9
2019-EUCRC,2019-08-24,7Schwaben,Heidees,7,13
2019-EUCRC,2019-08-24,M.U.C.,Force Elektro 1,13,6
2019-EUCRC,2019-08-24,7Schwaben,HELGTRE OPEN,13,9
2019-EUCRC,2019-08-24,Bad Skid,Family Ultimate,13,9
2019-EUCRC,2019-08-24,Ragnarok,Mooncatchers,9,13
2019-EUCRC,2019-08-24,Gentle Open,Frank N,13,10
2019-EUCRC,2019-08-24,Ragnarok,Family Ultimate,13,11
2019-EUCRC,2019-08-24,KFK - Copenhagen Frisbee Club,HELGTRE OPEN,13,3
2019-EUCRC,2019-08-24,7Schwaben,Force Elektro 1,13,5
2019-EUCRC,2019-08-24,Bad Skid,KFK - Copenhagen Frisbee Club,13,8
2019-EUCRC,2019-08-24,Mooncatchers,7Schwaben,9,13
2019-EUCRC,2019-08-24,M.U.C.,Gentle Open,13,12
2019-EUCRC,2019-08-24,Heidees,Ragnarok,13,10
2019-EUCRC,2019-08-25,HELGTRE OPEN,Family Ultimate,13,12
2019-EUCRC,2019-08-25,Force Elektro 1,Frank N,9,13
2019-EUCRC,2019-08-25,KFK - Copenhagen Frisbee Club,Ragnarok,13,3
2019-EUCRC,2019-08-25,Mooncatchers,Gentle Open,13,7
2019-EUCRC,2019-08-25,Bad Skid,Heidees,13,11
2019-EUCRC,2019-08-25,7Schwaben,M.U.C.,6,13
2019-EUCRC,2019-08-25,HELGTRE OPEN,Frank N,9,13
2019-EUCRC,2019-08-25,Family Ultimate,Force Elektro 1,13,6
2019-EUCRC,2019-08-25,KFK - Copenhagen Frisbee Club,Mooncatchers,11,13
2019-EUCRC,2019-08-25,Ragnarok,Gentle Open,13,12
2019-EUCRC,2019-08-25,Bad Skid,M.U.C.,13,9
2019-EUCRC,2019-08-25,Heidees,7Schwaben,13,8
2019-EUCRE,2019-08-23,THE BRIDGE,Gigolo,15,12
2019-EUCRE,2019-08-23,Uprising,thebigEZ,10,15
2019-EUCRE,2019-08-23,Yellow Block open,Catchup Graz,10,15
2019-EUCRE,2019-08-23,Cosmo Men,Prague Devils,9,15
2019-EUCRE,2019-08-23,FWD>>,Mojra,15,14
2019-EUCRE,2019-08-23,FUJ,Terrible Monkeys,15,9
